image,source,headline,label,explanation,Inaccurate reasoning (Yes/No),Explanation states opinion (Yes/No),Explanation uses commonsense reasoning (Yes/No),Explanation uses knowledge of specific events (Yes/No),Explanation uses domain knowledge (Yes/No)
False/medical/Bill Gates Faces Trial in India for Illegally Testing Tribal Children with Vaccines2022-08-26-01-08-52.jpg,THEGOODNEWSTODAY.ORG,Bill Gates Faces Trial in India for Illegally Testing Tribal Children with Vaccines,False,"This headline is false. There is no verified evidence or credible report indicating that Bill Gates is facing trial in India for illegally testing vaccines on tribal children. Bill Gates, through the Gates Foundation, is involved in various health initiatives in India. However, any such trial would be major international news and would be reported by numerous reputable sources.",No,No,Yes,Yes,Yes
False/medical/Three British Airways pilots have died of the COVID “vaccine” in the past 7 days2022-08-26-01-09-10.jpg,GREATREJECT.ORG,Three British Airways pilots have died of the COVID “vaccine” in the past 7 days,False,There's no evidence to support the claim that three British Airways pilots have died due to the COVID-19 vaccine. Official reports from British Airways confirm that none of their pilot deaths were connected to the vaccine. It's also critical to note that medical experts firmly state that the vaccines are safe and effective in preventing COVID-19.,Yes,No,Yes,Yes,Yes
False/medical/f_cassingram-vaccines-gmo-death.png,CASSINGRAM.COM,"The Unvaccinated Beware, COVID-19 mRNA Shots Cause Death and Disease through GMO Shedding - Dr. Cass Ingram",False,"The claim that COVID-19 mRNA vaccines cause death and disease through GMO shedding is false. It is scientifically inaccurate to claim that vaccines cause disease through GMO shedding, as GMO shedding is not a process associated with mRNA vaccines. mRNA vaccines work by instructing cells to produce a protein that triggers an immune response, not by altering genetic material. No credible scientific evidence supports a link between these vaccines and widespread death or disease.",Yes,No,Yes,Yes,Yes
False/medical/The GOP Is Worried Trump Will Kill All Their Voters With Fake COVID Cures2022-08-26-17-26-36.jpg,HALFWAYPOST.COM,The GOP Is Worried Trump Will Kill All Their Voters With Fake COVID Cures,False,"This headline is misleading because it suggests that Trump intends to harm GOP voters through counterfeit COVID treatments, which is a baseless accusation. While Trump has controversially promoted certain COVID-19 therapies, claiming he plans to knowingly endanger lives is unsubstantiated. Misinterpretation of speeches and spreading misinformation doesn't equate to factual news.",No,No,Yes,Yes,Yes
False/medical/COVID-19 Found in Toilet Paper2022-08-26-01-59-37.jpg,NOWSNEWS.COM,"COVID-19 Found in Toilet Paper (CNN)Masks were the first to go. Then, hand sanitizers. Now, nov",False,"The headline is misleading. While COVID-19 can survive on surfaces such as plastic and steel for several hours to days, there's currently no scientific evidence to suggest the virus can be transmitted through materials like toilet paper. This is largely due to the production, shipping, and handling processes it undergoes which would make the survival of the virus very unlikely.",Yes,No,Yes,Yes,Yes
"False/medical/UK Government Stats Show Vaccinated Children are 30,200% more Likely to Die than Unvaccinated Children2022-08-26-23-48-28.jpg",HEALTHIMPACTNEWS.COM,"UK Government Stats Show Vaccinated Children are 30,200% more Likely to Die than Unvaccinated Children",False,"This headline is false. There are no UK government statistics that indicate vaccinated children are more likely to die than unvaccinated children. In fact, extensive research globally indicates that vaccines greatly reduce the likelihood of severe illness, hospitalisation, and death in children. Misinterpreting or misrepresenting health statistics can lead to harmful misinformation.",No,No,Yes,Yes,Yes
"False/medical/America’s Frontline Doctors_ COVID-vaccinated can ‘shed’ spike protein, harming unvaccinated2022-08-26-01-08-05.jpg",LIFESITENEWS.COM,"America’s Frontline Doctors: COVID-vaccinated can 'shed' spike protein, harming unvaccinated",False,"COVID-19 vaccines don't cause recipients to shed or release the spike protein. Shedding occurs with live-virus vaccines, like the one for chickenpox; however, COVID-19 vaccines use inactive or partial versions of the virus to stimulate immune response. Therefore, vaccinated individuals pose no risk to the unvaccinated through shedding.",Yes,No,Yes,Yes,Yes
False/medical/DOCTORS CONFIRM FIRST HUMAN DEATH OFFICIALLY CAUSED BY GMOS2022-08-26-17-29-02.jpg,WORLDNEWSDAILYREPORT.COM,DOCTORS CONFIRM FIRST HUMAN DEATH OFFICIALLY CAUSED BY GMOS,False,"There's currently no scientific evidence to support the claim that GMOs (Genetically Modified Organisms) can cause death. Studies by the World Health Organization and American Medical Association suggest that GMOs are no more risky than conventional food in terms of human health. Therefore, a claim about the first human death officially caused by GMOs is false.",Yes,No,Yes,Yes,Yes
False/medical/Wasp Venom Found in Child Covid Shots2022-08-25-18-24-42.jpg,REALRAWNEWS.COM,Wasp Venom Found in Child Covid Shots Do the horrors ever end?,False,"This headline is false because there is no scientific or biotechnological processes that involve using wasp venom in the manufacturing of COVID-19 vaccines. Real vaccines contain protein or RNA from the virus for our immune system to learn and react to, not wasp venom. The ingredients are publicly listed and regulated by organizations like the FDA.",Yes,No,Yes,No,Yes
False/medical/Norway has reclassified Covid-19 as a common flu2022-08-26-00-49-03.jpg,WORLD-TODAY-NEWS.COM,Norway has reclassified Covid-19 as a common flu Health,False,"This headline is false because Norway has not reclassified Covid-19 as a common flu. Their health authorities continue to acknowledge the virus as a global pandemic that requires preventive measures, such as vaccination, to mitigate its spread. Equating Coronavirus with the common flu is scientifically incorrect given differences in transmission rates, severity, and health impacts.",No,No,Yes,Yes,Yes
False/medical/SPANISH AUTHORITIES ASK PREGNANT WOMEN TO ABSTAIN FROM GIVING BIRTH UNTIL THE END OF THE PANDEMIC2022-08-26-23-44-51.jpg,WORLDNEWSDAILYREPORT.COM,SPANISH AUTHORITIES ASK PREGNANT WOMEN TO ABSTAIN FROM GIVING BIRTH UNTIL THE END OF THE PANDEMIC,False,This headline is false because it's not medically possible for pregnant women to control or delay the timing of their childbirth. Birth timing is a natural biological process that can't be postponed until the end of a pandemic. Any instruction like this would also be unethical.,Yes,No,Yes,No,Yes
False/medical/PROOF_ The _Novel Coronavirus_ Infecting the World is a MILITARY BIO-WEAPON Developed by China's Army2022-08-26-23-47-00.jpg,HALTURNERRADIOSHOW.COM,"PROOF: The ""Novel Coronavirus"" Infecting the World is a MILITARY BIO-WEAPON Developed by China's Army",False,"There is no verified scientific evidence supporting the claim that SARS-CoV-2, the virus causing the COVID-19 pandemic, is a military bio-weapon developed by China's Army. In fact, consensus within the scientific community maintains that the virus is of natural origin, likely originating from bats. Accusations asserting purposeful creation and release lack credible proof and are largely deemed misinformation.",Yes,No,Yes,Yes,Yes
False/medical/Coronavirus Bioweapon – How China Stole Coronavirus From Canada And Weaponized It2022-08-26-00-30-27.jpg,GREATGAMEINDIA.COM,Coronavirus Bioweapon - How China Stole Coronavirus From Canada and Weaponized It,False,"There is no credible evidence to support the claim that China stole and weaponized the coronavirus from Canada. This theory has been debunked by various health agencies and scientific communities worldwide. The consensus suggests that the virus originated naturally from wildlife, specifically, bats.",Yes,No,Yes,Yes,Yes
False/medical/82% Pregnant Women Getting COVID Vaccine have Miscarriages – More than the Abortion Pill2022-08-26-17-18-47.jpg,HEALTHIMPACTNEWS.COM,82% Pregnant Women Getting COVID Vaccine have Miscarriages - More than the Abortion Pill,False,"This headline is false because it misconstrues the data. The CDC's V-safe system reported that 82% of miscarriages occurred in women who were vaccinated before 20 weeks of pregnancy. However, this doesn't mean that 82% of vaccinated women had miscarriages. It's also not accurate to compare the miscarriage rate of vaccinated women to those who take the abortion pill, as they are fundamentally different situations with different factors involved.",Yes,No,Yes,Yes,Yes
False/medical/Pfizer Confirms COVID-Vaccinated People Can ‘Shed’ Spike Proteins And Harm The Unvaccinated2022-08-26-00-48-19.jpg,CHRISTIANSFORTRUTH.COM,Pfizer Confirms COVID-Vaccinated People can ‘Shed’ Spike Proteins And Harm The Unvaccinated,False,"This headline is false because COVID-19 vaccines do not cause people to 'shed' spike proteins. Vaccines, like Pfizer's, teach the body to recognize and fight the virus. The process of shedding refers typically to viruses multiplying and being expelled from the body. However, vaccinated people are not infected with live COVID-19 virus, so they cannot shed it.",Yes,No,Yes,Yes,Yes
False/medical/REPORT_ Pfizer Vaccine Confirmed To Cause Neurodegenerative Diseases – Study2022-08-26-00-30-07.jpg,NATIONALFILE.COM,REPORT: Pfizer Vaccine Confirmed To Cause Neurodegenerative Diseases - Study,False,"No credible scientific study or report has established a direct causal link between Pfizer's COVID-19 vaccine and neurodegenerative diseases. Regulatory bodies, including the FDA and WHO, closely monitor vaccine safety and would issue warnings if significant risks were identified. It is essential to verify information from reliable, scientific sources to avoid misinformation.",Yes,No,Yes,Yes,Yes
False/medical/Military Destroys Vaccine Warehouse2022-08-25-18-24-29.jpg,REALRAWNEWS.COM,Military Destroys Vaccine Warehouse U.S. Special Forces on Saturday raided a Moderna-leased.,False,"The headline is false because there are no credible sources or confirmed reports to support the claim that U.S. Special Forces raided and destroyed a Moderna-leased vaccine warehouse. This kind of operation would be highly unusual and would make major headlines, but there's no evidence it occurred. Please verify from reputable sources before accepting such information.",No,No,Yes,No,Yes
False/non-medical/biden-admin-begs-trump-for-nuclear-command-codes2022-10-14-19-39-42.jpg,TRUSTTHEQ.COM,Biden Admin Begs Trump for Nuclear Command Codes,False,"This headline is false because the process of transferring nuclear command codes, part of the presidential transition, does not involve the incoming administration asking the outgoing one for the codes. The National Military Command Center, an agency within the Department of Defense, is responsible for this process, ensuring a smooth and secure transition.",Yes,No,Yes,Yes,Yes
False/non-medical/200 MILLION YEARS OLD DINOSAUR EGG HATCHES IN BERLIN MUSEUM2022-08-26-17-19-26.jpg,WORLDNEWSDAILYREPORT.COM,200 MILLION YEARS OLD DINOSAUR EGG HATCHES IN BERLIN MUSEUM,False,"The headline is false because dinosaur eggs, after millions of years, fossilize and effectively turn to stone. The organic materials that would allow an egg to hatch are replaced by minerals in the process of fossilization. Therefore, it is scientifically impossible for a 200 million year old dinosaur egg to hatch.",No,No,Yes,Yes,Yes
False/non-medical/GITMO Double-Header Execution_ Anthony Fauci & Loretta Lynch2022-08-25-18-25-05.jpg,REALRAWNEWS.COM,GITMO Double-Header Execution: Anthony Fauci & Loretta Lynch,False,"This headline is false because neither Anthony Fauci nor Loretta Lynch have been executed. Anthony Fauci is a prominent public health official involved in the COVID-19 response, and Loretta Lynch is a former Attorney General. Public records and reputable news sources confirm that both are alive and continue to participate in public life.",Yes,No,Yes,Yes,Yes
"False/non-medical/Los Angeles Police_ 12 White Female Bodies in Garage Freezer Tagged, “Black Lives Matter”2022-08-26-01-59-16.jpg",NOW8NEWS.COM,"Los Angeles Police: 12 White Female Bodies in Garage Freezer Tagged, “Black Lives Matter”",False,"This headline is false because it refers to an event that simply has not occurred. There are no credible news reports or official law enforcement statements validating the finding of 12 white female bodies in a freezer tagged with ""Black Lives Matter"" in Los Angeles. It appears to be an example of disinformation designed to mislead, promote fear, and create social division.",Yes,No,Yes,Yes,Yes
False/non-medical/CANADIANS FACE MAJOR DONUT SHORTAGE AFTER FIRST DAY OF CANNABIS LEGALIZATION2022-08-26-17-22-14.jpg,WORLDNEWSDAILYREPORT.COM,CANADIANS FACE MAJOR DONUT SHORTAGE AFTER FIRST DAY OF CANNABIS LEGALIZATION,False,"This headline is false because there is no direct connection between the legalization of cannabis and a major shortage of donuts. While it's a common stereotype that cannabis use increases appetite for snacks like donuts, legalizing cannabis wouldn't instantly create a drastic increase in donut consumption that would result in a major shortage.",Yes,No,Yes,No,Yes
False/non-medical/LOGGERS ACCIDENTALLY CUT DOWN WORLD’S OLDEST TREE IN AMAZON FOREST2022-08-26-17-25-51.jpg,WORLDNEWSDAILYREPORT.COM,LOGGERS ACCIDENTALLY CUT DOWN WORLD'S OLDEST TREE IN AMAZON FOREST,False,"This headline is false because the world's oldest tree, named Methuselah, is not located in the Amazon forest. It's over 4,800 years old and is situated in the White Mountains of California, United States. Plus, the Amazon rainforest typically consists of much younger trees due to its tropical ecosystem.",Yes,No,Yes,Yes,Yes
False/non-medical/after-cheney-ouster-house-reps-propose-new-oath-of-office2022-08-25-17-48-05.jpg,THEDAILYNOOZE.COM,After Cheney Ouster; House Reps Propose New Oath Of Office,False,"The headline is false because there has been no reporting or verified sources indicating that House Representatives are proposing a new Oath of Office following Liz Cheney's ouster. Oaths of office are historically consistent, regulated by the U.S. Constitution, and changes would require extensive processes and debate. Therefore, such an action would have been widely reported.",No,No,Yes,Yes,Yes
False/non-medical/Mike Pence’s 2024 Campaign Slogan Is “Getting Hard On Socialism”2022-08-26-17-22-03.jpg,HALFWAYPOST.COM,"Mike Pence's 2024 Campaign Slogan Is ""Getting Hard On Socialism""",False,"The claim that Mike Pence's 2024 campaign slogan is ""Getting Hard On Socialism"" is false because, as of now, Mike Pence has not officially announced a presidential run for 2024, let alone a campaign slogan. The information appears to be based on speculation rather than confirmed facts.",Yes,No,Yes,Yes,Yes
False/non-medical/White Nationalists Granted Permit for Mock Hanging Outside of Boston’s Afro-American History Museum2022-08-26-23-48-19.jpg,NOWSNEWS.COM,White Nationalists Granted Permit for Mock Hanging Outside of Boston's Afro-American History Museum,False,"This headline is false because there's no credible source or verified report that a permit has been granted for such an activity. Authorities in Boston, or any city, would not approve a permit for an event that promotes hate speech or incites violence. Additionally, such a provocation directly outside a museum focused on African-American history and culture is highly unlikely and extremely inflammatory.",No,No,Yes,No,Yes
False/non-medical/f_obama i already made america great.jpg,DAILYWORLDUPDATE.US,"Barack Obama: I Already Made America Great Again - Obama is trashing Trump, which will help get Michelle on th…",False,"This headline is false because Barack Obama hasn't made a public statement claiming that he ""already made America great again."" Additionally, there's no verified evidence that Obama is making negative remarks about Trump to help facilitate his wife Michelle's political aspirations. News reports and public discourse should confirm such statements.",No,No,Yes,Yes,Yes
"False/non-medical/Pope Francis Says ‘Strong Possibility’ World Ended in November, We Are Now in Hell2022-08-26-17-32-04.jpg",REALNEWSRIGHTNOW.COM,"Pope Francis Says ‘Strong Possibility’ World Ended in November, We Are Now in Hell",False,This headline is false because there have been no verified statements or official declarations from Pope Francis or the Vatican stating the world ended in November or that we are currently in hell. This information sounds more like a sensationalized or misinterpreted claim rather than an actual comment by the Pope.,No,No,Yes,No,Yes
False/non-medical/CANADA_ HELLS ANGELS SUE GOVERNMENT FOR $2 BILLION REVENUE LOSS OVER LEGALIZATION OF MARIJUANA2022-08-26-23-49-41.jpg,WORLDNEWSDAILYREPORT.COM,CANADA: HELLS ANGELS SUE GOVERNMENT FOR $2 BILLION REVENUE LOSS OVER LEGALIZATION OF MARIJUANA,False,"The Hells Angels, a notorious motorcycle club often linked to illegal activities including drug trafficking, have not sued the Canadian government for losses in revenue due to marijuana legalization. No such lawsuit has been publicized or documented in media or legal records. The group is also unlikely to admit involvement in illegal drug trade openly.",Yes,No,Yes,Yes,Yes
False/non-medical/Obama Foundation Owns 82% of Mail-In Ballot Printers2022-08-26-00-49-57.jpg,WORDPRESS.COM,Obama Foundation Owns 82% of Mail-In Ballot Printers,False,"The claim that the Obama Foundation owns 82% of mail-in ballot printers is false because the Obama Foundation is a non-profit organization aimed at civic engagement and leadership development. It does not engage in commercial operations such as printing, let alone specialized printing of mail-in ballots. Ballot printing is managed by state election officials and contracted printing companies.",Yes,No,Yes,Yes,Yes
False/non-medical/Merrick Garland Announces DOJ Will Investigate People Chanting F Biden2022-08-26-01-08-42.jpg,DOGFACEPONIA.COM,Merrick Garland Announces DOJ Will Investigate People Chanting F Biden,False,"This headline is false because Merrick Garland, the U.S. Attorney General, has not announced any such investigation. The Department of Justice usually focuses on federal legal matters and criminal violations, not on individuals expressing political views or freedom of speech, which are protected under the First Amendment.",Yes,No,Yes,Yes,Yes
False/non-medical/Special Forces Arrest Deep State Dr. Anthony Fauci2022-08-25-18-22-35.jpg,REALRAWNEWS.COM,Special Forces Arrest Deep State Dr. Anthony Fauci,False,"This headline is false because no credible sources or official government statements have reported the arrest of Dr. Anthony Fauci. He continues to occupy his position as the director of the National Institute of Allergy and Infectious Diseases, regularly appearing in public to provide updates on the COVID-19 situation.",No,No,Yes,Yes,Yes
False/non-medical/AOC Almost Murdered in Traffic by the Capital Police2022-08-26-17-28-51.jpg,DOGFACEPONIA.COM,"AOc Almost Murdered in Traffic by the Capital Police AOC, the perpetual victim, was almost murdered once again: Thi...",False,The headline is false because it is highly sensationalized and misleading. There's no credible evidence or reliable report that supports the claim that AOC was almost murdered by Capital Police in traffic. It's important to rely on factual information from trusted news sources.,Yes,No,Yes,No,Yes
False/non-medical/QAnon Wants You To Pee On Your Kids So Democrats Can’t Smell Their Youthful Blood2022-08-26-17-25-36.jpg,HALFWAYPOST.COM,QAnon Wants You To Pee On Your Kids So Democrats Can’t Smell Their Youthful Blood,False,"The headline makes a false claim attributed to QAnon, an unfounded conspiracy theory. No evidence suggests that this group has made such bizarre requests. It also falsely suggests that Democrats can smell youthful blood, an unproven and irrational assertion. Misinformation such as this can spread unfounded fear and confusion.",No,No,Yes,No,Yes
"False/non-medical/Taliban Pledge to Allow Women and Girls as Young as Ten to Perform Public Executions, Floggings2022-08-26-17-24-02.jpg",REALNEWSRIGHTNOW.COM,"Taliban Pledge to Allow Women and Girls as Young as Ten to Perform Public Executions, Floggings",False,"This statement is false because the Taliban, despite its record of severe human rights abuses, particularly against women and girls, has not made a pledge of this sort. While the Taliban's rule imposes strict restrictions on women, this extreme claim of forcing minors to carry out public punishments lacks validation from substantial or credible sources. It is crucial to rely on verified information when discussing such sensitive issues.",No,No,Yes,Yes,Yes
False/non-medical/“Blacks 4 Trump” Group Caught Using Blackface To Pretend They Have Black Members2022-08-26-17-22-32.jpg,HALFWAYPOST.COM,"""Blacks 4 Trump"" Group Caught Using Blackface To Pretend They Have Black Members",False,"There is no credible reporting or evidence to support the assertion in the headline about a group called ""Blacks 4 Trump"" using blackface to feign black membership. A claim such as this is serious and requires strong substantiation. Until adequate verification is available, this statement is deemed false.",Yes,No,Yes,No,Yes
"False/non-medical/PLANE THAT DISAPPEARED IN BERMUDA TRIANGLE IN 1945 LANDS IN FLORIDA, CREW MEMBERS REMEMBER NOTHING2022-08-26-23-46-52.jpg",WORLDNEWSDAILYREPORT.COM,"PLANE THAT DISAPPEARED IN BERMUDA TRIANGLE IN 1945 LANDS IN FLORIDA, CREW MEMBERS REMEMBER NOTHING",False,"This headline is false because, scientifically, it's impossible for a plane to disappear for decades and then suddenly reappear. Further, human aging cannot be stopped or reversed, so crew members from 1945 would not be alive or in a condition to fly in modern times. Finally, there are no verifiable news reports or official records which confirm this incident.",Yes, No,Yes,Yes,Yes
False/non-medical/u-military-destroys-child-trafficking-tunnels-in-south-carolina2022-08-24-21-27-25.jpg,TRUSTTHEQ.COM,U.S. Military Destroys Child Trafficking Tunnels in South Carolina,False,There's no recognized data or verified sources confirming the existence or demolition of child trafficking tunnels in South Carolina by the U.S. military. The Department of Defense has not reported any such operation. This information appears to be unfounded and misleading.,Yes, No,Yes,Yes,Yes
False/non-medical/Cookie Dough Can Explodes In Woman’s Vagina During Shoplifting Incident2022-08-26-02-00-45.jpg,NOWSNEWS.COM,Cookie Dough Can Explodes In Woman's Vagina During Shoplifting Incident,False,"This headline is false because it is biologically impossible for a can to explode inside a human body due to the body's temperature, moisture levels, and pressure differences. It has also been used as a sensationalist story in unreliable sources and has been debunked by reputable media fact-checkers.",No,No,Yes,Yes,Yes
False/non-medical/Donald Trump Is Now Selling Timeshares At Mar-A-Lago2022-08-26-17-35-20.jpg,HALFWAYPOST.COM,Donald Trump Is Now Selling Timeshares At Mar-A-Lago,False,"This headline is false because Donald Trump is not selling timeshares at Mar-a-Lago. Mar-a-Lago is a private club owned by Donald Trump, and membership fees and dues offer access, but do not bestow ownership rights. Selling timeshares would imply selling ownership stakes in the property, which is not the case.",No, No,Yes,Yes,Yes
False/non-medical/pelosi files to have trump tried before un court.png,DAILYWORLDUPDATE.US,Pelosi Files To Have Trump Tried Before U.N. Court What right do THEY have to be involved?,False,"The headline is false because U.S. Speaker of the House Nancy Pelosi doesn't have the authority to file for a U.S. president to be tried before a U.N. court. The United Nations doesn't have the jurisdiction to try heads of state for domestic matters, its courts deal primarily with international crimes. Any prosecution of a U.S. president would take place within American legal system.",Yes,No,Yes,Yes,Yes
False/non-medical/DEATH ROW INMATE DEMANDS TO BE SERVED A LIVE CAT AS HIS LAST MEAL2022-08-26-00-45-51.jpg,WORLDNEWSDAILYREPORT.COM,DEATH ROW INMATE DEMANDS TO BE SERVED A LIVE CAT AS HIS LAST MEAL,False,"This headline is false because it contradicts the regulations of last meals for death row inmates in the United States. These regulations stipulate that the meals must be locally available and within a certain budget. Also, serving a live animal would be considered inhumane and thus, against laws prohibiting animal cruelty.",No,No,Yes,Yes,Yes
False/non-medical/Donald Trump Proposes ‘One Child Law’ For Hispanics2022-08-26-00-31-44.jpg,NOWSNEWS.COM,Donald Trump Proposes 'One Child Law' For Hispanics,False,There is no substantiated evidence or credible news reports supporting the claim that Donald Trump has proposed a 'One Child Law' specifically for Hispanics. This assertion is false and appears to be misinformative as it spreads inaccurate information about his political positions.,Yes,No,Yes,Yes,Yes
False/non-medical/Evidence Surfaces That The FBI Planned And Executed January 6 Capitol Riot2022-08-26-01-07-17.jpg,TATUMREPORT.COM,Evidence Surfaces That The FBI Planned And Executed January 6 Capitol Riot,False,"This headline is false because there is no credible evidence proving that the FBI planned and executed the January 6 Capitol Riot. Numerous legal and investigative reports show the riot was a non-governmental act of insurrection, carried out by independent individuals. Misinformation may arise, but no substantiated proof implicates the FBI in orchestrating the event.",No,No,Yes,Yes,Yes
False/non-medical/COURT ORDERS TIGER WOODS TO TAKE 137 PATERNITY TESTS2022-08-26-01-11-59.jpg,WORLDNEWSDAILYREPORT.COM,COURT ORDERS TIGER WOODS TO TAKE 137 PATERNITY TESTS,False,"The headline stating 'COURT ORDERS TIGER WOODS TO TAKE 137 PATERNITY TESTS' is false because there are no credible news sources or legal documentation confirming this event. Tiger Woods, a well-known professional golfer, hasn't been reported to be involved in such large-scale paternity disputes. Therefore, the mentioned court order doesn't exist.",Yes,No,Yes,Yes,Yes
False/non-medical/Governor’s Conference Votes 32-18 to Impeach Nancy Pelosi2022-08-26-01-10-05.jpg,BITSBLOG.COM,Governor's Conference Votes 32-18 to Impeach Nancy Pelosi,False,"The headline is false because the Governor's Conference is a forum for governors to discuss policy, it does not have the authority to vote on impeachment. Impeachment proceedings are under the jurisdiction of the U.S. House of Representatives and Senate, not a body of state executives. Moreover, Nancy Pelosi, as a member of the House, cannot be impeached.",Yes,No,Yes,Yes,Yes
"False/non-medical/Military Defies Biden Regime, Refuses to Deploy2022-08-26-01-07-46.jpg",REALRAWNEWS.COM,"Military Defies Biden Regime, Refuses to Deploy The criminal Biden regime on 2 February announced it had_",False,"The headline falsely asserts a defiance by the U.S. military against President Biden's orders, suggesting an unconstitutional act. It also wrongly labels Biden's administration as a ""regime"" and ""criminal"" which lacks factual basis and uses biased language. Furthermore, the headline is incomplete and lacks context to substantiate its claim. Actual sources of news will provide clear, non-inflammatory language and substantiated facts.",Yes,No,Yes,Yes,Yes
False/non-medical/JAG Convicts Bill Ayers on Charges of Seditious Conspiracy2022-08-25-18-26-07.jpg,REALRAWNEWS.COM,JAG Convicts Bill Ayers on Charges of Seditious Conspiracy,False,"The headline is false because JAG, or Judge Advocate General's Corps, pertains to military law and has no jurisdiction over civilians such as Bill Ayers. Seditious conspiracy would be a federal, not military, crime. Ayers, once a member of the Weather Underground, has never been convicted of such charges either.",Yes,No,Yes,Yes,Yes
False/non-medical/ilhan omar spits on the tomb.png,TATERSGONNATATE.COM,Ilhan Omar Spits On The Tomb of the Unknown Soldier,False,"This headline is false because no credible sources or evidence support the claim that Ilhan Omar, a U.S. Representative, disrespected the Tomb of the Unknown Soldier in such a way. This appears to be misinformation or a fabricated story, possibly created to damage her reputation.",No,No,Yes,No,Yes
False/non-medical/breaking-hillary-clinton-found-dead-under-suspicious-circumstances2022-04-07-21-30-23.jpg,DUNNING-KRUGER-TIMES.COM,BREAKING: Hillary Clinton Found Dead Under Suspicious Circumstances,False,"This headline is false because Hillary Clinton is not dead. As of the most recent reliable news sources and statements, she is alive and well. Any claims of her death, particularly under suspicious circumstances, are unsubstantiated and potentially misleading or disinformation. Please always verify such drastic information from credible sources.",No,No,Yes,Yes,Yes
False/non-medical/f_more proof postal workers busted dumping mail.jpg,AMERICASFREEDOMFIGHTERS.COM,MORE PROOF! Postal Worker Busted Dumping Mail in THIS State,False,"The headline is false because there's been no substantiated report of any postal worker being caught dumping mail within the stated context. Such allegations are serious and would prompt an immediate investigation by the U.S. Postal Inspection Service. However, no such investigation or charges have been reported, rendering the headline misleading.",Yes,No,Yes,Yes,Yes
False/non-medical/RUSSIAN SCIENTISTS DISCOVER CURE TO HOMOSEXUALITY2022-08-26-17-31-16.jpg,WORLDNEWSDAILYREPORT.COM,RUSSIAN SCIENTISTS DISCOVER CURE TO HOMOSEXUALITY,False,"The headline is false because homosexuality is not a disease or a condition that requires a cure. It's a part of human sexual orientation, which is innate and unchangeable. The scientific community, including World Health Organization, agrees that attempts to change or suppress one's sexual orientation are unethical and potentially harmful. This ""discovery,"" therefore, is impossible and misleading.",No, No,Yes,Yes,Yes
False/non-medical/Bill Clinton Brought His Teenage Daughter To Epstein Island.png,DUNNING-KRUGER-TIMES.COM,Bill Clinton Brought His Teenage Daughter To Epstein Island This is actually pretty disturbing:,False,"There are no credible reports or evidence to substantiate the claim that Bill Clinton brought his daughter, Chelsea, to Jeffrey Epstein's island. Although Clinton's associations with Epstein have been scrutinized, there's concrete proof or legal record to indicate that Chelsea Clinton was ever involved or present in those situations.",Yes,No,Yes,Yes,Yes
False/non-medical/Mar-A-Lago Contracts Now Stipulate That Donald Trump Gets 30 Minutes To Rant At Your Event2022-08-26-17-18-35.jpg,HALFWAYPOST.COM,Mar-A-Lago Contracts Now Stipulate That Donald Trump Gets 30 Minutes To Rant At Your Event,False,"This headline is false because there is no documented evidence showing that contracts for events at Mar-A-Lago include a clause stipulating a 30-minute rant by Donald Trump. It seems like an exaggerated claim made for satirical or sensational purposes. Statements about official agreements, especially of this nature, require solid proof for validation.",No,No,Yes,No,Yes
False/non-medical/Graffiti Artist Banksy Arrested In London; Identity Revealed2022-08-26-17-22-42.jpg,NATIONALREPORT.NET,Graffiti Artist Banksy Arrested In London; Identity Revealed,False,"This headline is false as there are no credible sources that report Banksy's arrest or identity revelation. Banksy's identity remains unknown, and numerous unverified reports and hoaxes have spread misinformation about this issue over the years. Therefore, this headline seems to be just another unverified claim.
",No,No,Yes,Yes,Yes
False/non-medical/JOE BIDEN LOOKALIKE TRIED TO GET FREE MEALS AT MCDONALD’S WHILE IMPERSONATING PRESIDENT2022-08-26-00-29-56.jpg,NATIONALISTLRO,JOE BIDEN LOOKALIKE TRIED TO GET FREE MEALS AT MCDONALD'S WHILE IMPERSONATING PRESIDENT,False,"There's no credible or verified source reporting an incident where a Joe Biden lookalike attempted to get free meals at McDonald's while impersonating the President. Such a potentially high-profile comedy or criminal event would surely have been reported widely. Therefore, the headline seems to be untrue or misleading.",Yes,No,Yes,Yes,Yes
False/non-medical/MISSISSIPPI MAN WHO WAS LEGALLY SOLD TO CIRCUS AS A BABY ‘STILL OWNED BY COMPANY’ SAYS COURT JUDGE2022-08-26-23-44-10.jpg,WORLDNEWSDAILYREPORT.COM,MISSISSIPPI MAN WHO WAS LEGALLY SOLD TO CIRCUS AS A BABY 'STILL OWNED BY COMPANY' SAYS COURT JUDGE,False,"The headline is false because the United States has strict laws prohibiting human trafficking and slavery. It's illegal to buy or sell a human under any circumstances, including for employment. Therefore, a company could not legally own a person, and a court would not uphold such an arrangement.",Yes,No,Yes,No,Yes
False/non-medical/delta-force-seizes-deep-state-stronghold2022-04-07-21-29-18.jpg,TRUSTTHEQ.COM,Delta Force Seizes Deep State Stronghold,False,"The headline 'Delta Force Seizes Deep State Stronghold' is false because it includes unfounded conspiracy theory terms like 'Deep State' and 'Delta Force,' which are typically used in misleading or manipulative narratives. There is no verifiable evidence to support these allegations. The terms are also misrepresented - 'Deep State' is not a physical place, and the 'Delta Force' is a special forces unit of the US army, not involved in domestic politics.",No,No,Yes,No,Yes
